,ts_code,symbol,name,area,industry,fullname,market,list_date
1902,300513.SZ,300513,恒实科技,北京,软件服务,北京恒泰实达科技股份有限公司,创业板,20160530
1903,300514.SZ,300514,友讯达,深圳,通信设备,深圳友讯达科技股份有限公司,创业板,20170426
1904,300515.SZ,300515,三德科技,湖南,电器仪表,湖南三德科技股份有限公司,创业板,20160608
1905,300516.SZ,300516,久之洋,湖北,电器仪表,湖北久之洋红外系统股份有限公司,创业板,20160602
1906,300517.SZ,300517,海波重科,湖北,建筑施工,海波重型工程科技股份有限公司,创业板,20160719
1907,300518.SZ,300518,盛讯达,深圳,软件服务,深圳市盛讯达科技股份有限公司,创业板,20160624
1908,300519.SZ,300519,新光药业,浙江,中成药,浙江新光药业股份有限公司,创业板,20160624
1909,300520.SZ,300520,科大国创,安徽,软件服务,科大国创软件股份有限公司,创业板,20160708
1910,300521.SZ,300521,爱司凯,广东,专用机械,爱司凯科技股份有限公司,创业板,20160705
1911,300522.SZ,300522,世名科技,江苏,染料涂料,苏州世名科技股份有限公司,创业板,20160705
1912,300523.SZ,300523,辰安科技,北京,软件服务,北京辰安科技股份有限公司,创业板,20160726
1913,300525.SZ,300525,博思软件,福建,软件服务,福建博思软件股份有限公司,创业板,20160726
1914,300526.SZ,300526,中潜股份,广东,专用机械,中潜股份有限公司,创业板,20160802
1915,300527.SZ,300527,中国应急,湖北,专用机械,中国船舶重工集团应急预警与救援装备股份有限公司,创业板,20160805
1916,300528.SZ,300528,幸福蓝海,江苏,影视音像,幸福蓝海影视文化集团股份有限公司,创业板,20160808
1917,300529.SZ,300529,健帆生物,广东,医疗保健,健帆生物科技集团股份有限公司,创业板,20160802
1918,300530.SZ,300530,达志科技,广东,化工原料,广东达志环保科技股份有限公司,创业板,20160809
1919,300531.SZ,300531,优博讯,深圳,软件服务,深圳市优博讯科技股份有限公司,创业板,20160809
1920,300532.SZ,300532,今天国际,深圳,软件服务,深圳市今天国际物流技术股份有限公司,创业板,20160818
1921,300533.SZ,300533,冰川网络,深圳,软件服务,深圳冰川网络股份有限公司,创业板,20160818
1922,300534.SZ,300534,陇神戎发,甘肃,中成药,甘肃陇神戎发药业股份有限公司,创业板,20160913
1923,300535.SZ,300535,达威股份,四川,化工原料,四川达威科技股份有限公司,创业板,20160812
1924,300536.SZ,300536,农尚环境,湖北,建筑施工,武汉农尚环境股份有限公司,创业板,20160920
1925,300537.SZ,300537,广信材料,江苏,染料涂料,江苏广信感光新材料股份有限公司,创业板,20160830
1926,300538.SZ,300538,同益股份,深圳,批发业,深圳市同益实业股份有限公司,创业板,20160826
